date,open,close,high,low,volume,amount
20150213 11:12:00,14.02,14.02,14.04,14.01,139000,1948395
20150213 11:13:00,14.02,14.08,14.09,14.02,1103500,15519230
20150213 11:14:00,14.08,14.08,14.09,14.07,633300,8920736
20150213 11:15:00,14.08,14.06,14.08,14.06,280200,3943766
20150213 11:16:00,14.06,14.07,14.08,14.06,248200,3491474
20150213 11:17:00,14.08,14.07,14.08,14.06,228100,3209760
20150213 11:18:00,14.06,14.08,14.08,14.06,167900,2362800
20150213 11:19:00,14.06,14.07,14.07,14.06,97700,1374134
20150213 11:20:00,14.08,14.07,14.08,14.06,137700,1937676
20150213 11:21:00,14.07,14.07,14.08,14.06,165000,2321500
20150213 11:22:00,14.08,14.05,14.08,14.05,420500,5914574
20150213 11:23:00,14.07,14.07,14.08,14.06,169100,2379539
20150213 11:24:00,14.07,14.09,14.09,14.07,379900,5348601
20150213 11:25:00,14.09,14.08,14.1,14.08,731800,10310654
20150213 11:26:00,14.07,14.07,14.08,14.07,319900,4502955
20150213 11:27:00,14.08,14.09,14.09,14.07,337100,4747932
20150213 11:28:00,14.09,14.09,14.09,14.08,847700,11937737
20150213 12:59:00,14.09,14.15,14.15,14.08,5354200,75542416
20150213 13:00:00,14.15,14.15,14.15,14.15,0,0
20150213 13:01:00,14.15,14.15,14.16,14.14,626700,8866578
20150213 13:02:00,14.15,14.17,14.17,14.14,602300,8526437
20150213 13:03:00,14.16,14.15,14.17,14.15,414800,5873221
20150213 13:04:00,14.16,14.16,14.17,14.14,642200,9092674
20150213 13:05:00,14.16,14.16,14.17,14.15,436400,6178671
20150213 13:06:00,14.16,14.16,14.17,14.15,735000,10412265
20150213 13:07:00,14.16,14.15,14.16,14.14,262100,3708836
20150213 13:08:00,14.15,14.14,14.16,14.14,260100,3680542
20150213 13:09:00,14.15,14.15,14.16,14.14,210900,2984242
20150213 13:10:00,14.15,14.15,14.16,14.14,191900,2715537
20150213 13:11:00,14.15,14.17,14.17,14.14,511000,7234623
20150213 13:12:00,14.16,14.17,14.17,14.15,141700,2006681
20150213 13:13:00,14.16,14.18,14.18,14.16,479800,6798912
20150213 13:14:00,14.17,14.18,14.18,14.17,534500,7577043
20150213 13:15:00,14.17,14.17,14.18,14.17,335100,4749443
20150213 13:16:00,14.18,14.17,14.18,14.17,499000,7072098
20150213 13:17:00,14.17,14.15,14.17,14.15,299100,4235660
20150213 13:18:00,14.15,14.15,14.16,14.15,194700,2755974
20150213 13:19:00,14.15,14.15,14.16,14.15,281900,3989704
20150213 13:20:00,14.16,14.15,14.16,14.15,222500,3148896
20150213 13:21:00,14.15,14.13,14.15,14.13,484200,6847198
20150213 13:22:00,14.13,14.12,14.14,14.12,1017100,14370725
20150213 13:23:00,14.12,14.14,14.14,14.12,363500,5136287
20150213 13:24:00,14.13,14.15,14.15,14.13,370400,5235725
20150213 13:25:00,14.15,14.16,14.16,14.15,214800,3039940
20150213 13:26:00,14.15,14.14,14.16,14.14,166500,2355962
20150213 13:27:00,14.15,14.14,14.15,14.13,323200,4570192
20150213 13:28:00,14.13,14.13,14.14,14.13,234400,3313272
20150213 13:29:00,14.13,14.13,14.14,14.12,216300,3056319
20150213 13:30:00,14.13,14.11,14.14,14.11,225000,3177788
20150213 13:31:00,14.11,14.12,14.12,14.11,170400,2405252
20150213 13:32:00,14.11,14.12,14.12,14.11,158900,2242543
20150213 13:33:00,14.12,14.12,14.12,14.11,179500,2533943
20150213 13:34:00,14.11,14.12,14.12,14.11,191800,2706882
20150213 13:35:00,14.11,14.1,14.12,14.1,202100,2850486
20150213 13:36:00,14.11,14.11,14.12,14.1,126200,1780540
20150213 13:37:00,14.12,14.12,14.12,14.11,144300,2037291
20150213 13:38:00,14.13,14.13,14.13,14.12,299500,4231328
20150213 13:39:00,14.13,14.14,14.14,14.13,356500,5039552
20150213 13:40:00,14.13,14.13,14.14,14.12,93300,1318728
20150213 13:41:00,14.13,14.13,14.14,14.12,149800,2116366
20150213 13:42:00,14.14,14.13,14.14,14.12,160400,2265561
20150213 13:43:00,14.14,14.12,14.14,14.12,461300,6519344
20150213 13:44:00,14.12,14.09,14.12,14.09,225000,3172416
20150213 13:45:00,14.1,14.09,14.1,14.08,173800,2449709
20150213 13:46:00,14.1,14.09,14.1,14.09,849300,11973180
20150213 13:47:00,14.09,14.11,14.11,14.09,442100,6233242
20150213 13:48:00,14.1,14.11,14.12,14.1,149100,2103461
20150213 13:49:00,14.11,14.12,14.12,14.11,163000,2299998
20150213 13:50:00,14.11,14.11,14.12,14.1,145700,2055799
20150213 13:51:00,14.11,14.08,14.11,14.08,171900,2422586
20150213 13:52:00,14.09,14.07,14.09,14.07,187100,2634343
20150213 13:53:00,14.07,14.06,14.08,14.06,266300,3746575
20150213 13:54:00,14.06,14.06,14.07,14.06,344800,4849520
20150213 13:55:00,14.06,14.06,14.06,14.05,336600,4730547
20150213 13:56:00,14.05,14.06,14.06,14.05,532800,7489140
20150213 13:57:00,14.06,14.06,14.06,14.05,170000,2390155
20150213 13:58:00,14.06,14.07,14.08,14.06,160600,2259436
20150213 13:59:00,14.08,14.08,14.08,14.07,356800,5023279
20150213 14:00:00,14.08,14.07,14.08,14.07,120400,1694150
